Quantity,Price,DiscountApplied(%),TotalAmount,Day,Month,Year,Hour,PaymentCash,PaymentCredit,PaymentDebit,PaymentPayPal,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_HomeDecor
7,80.07984415,18.6770995,455.8627638,26,12,2023,12,1,0,0,0,1,0,0,0
4,75.19522942,14.12136502,258.3065464,5,8,2023,0,1,0,0,0,0,0,0,1
8,31.52881648,15.94370066,212.0156509,11,3,2024,18,1,0,0,0,1,0,0,0
5,98.88021828,6.68633678,461.3437694,27,10,2023,22,0,0,0,1,1,0,0,0
7,93.18851246,4.030095691,626.0304837,22,12,2023,11,1,0,0,0,0,0,1,0
3,54.09315249,10.88876836,144.6092233,15,8,2023,4,1,0,0,0,0,0,1,0
7,13.12193739,16.29512671,76.88590745,26,12,2023,5,0,0,0,1,0,1,0,0
8,56.02516419,6.344305684,419.7660521,11,10,2023,6,0,0,1,0,0,0,0,1
5,23.85798105,18.70399725,96.97792465,27,2,2024,11,0,1,0,0,0,0,1,0
4,63.3427768,7.640606649,234.0120175,5,11,2023,1,0,0,1,0,1,0,0,0
8,98.79272609,14.17495322,678.3112271,25,9,2023,4,0,0,1,0,1,0,0,0
8,78.12314235,14.70431078,533.0853817,29,12,2023,5,0,0,0,1,0,0,1,0
3,39.003285,14.3684358,100.1973691,27,12,2023,15,0,1,0,0,0,0,1,0
6,45.47433964,10.57461814,243.9936112,8,2,2024,8,1,0,0,0,1,0,0,0
5,95.01176197,16.24839531,397.8693765,27,10,2023,17,1,0,0,0,0,1,0,0
2,19.91484964,14.46467762,34.06846168,23,9,2023,18,1,0,0,0,0,1,0,0
8,90.11467295,15.17441385,611.5223964,28,2,2024,21,0,1,0,0,0,1,0,0
6,16.70799791,18.3335909,81.86893153,1,2,2024,2,0,0,0,1,0,1,0,0
2,47.31868527,6.904600086,88.10303858,28,4,2024,21,0,1,0,0,0,0,1,0
5,77.09057502,19.25257426,311.2432741,6,4,2024,18,0,1,0,0,1,0,0,0
1,45.55602032,18.39618315,37.17545138,21,1,2024,21,0,1,0,0,0,0,0,1
6,61.40081305,15.43425899,311.5443153,24,4,2024,12,0,1,0,0,1,0,0,0
9,54.17017953,11.00572372,433.8752331,28,11,2023,21,1,0,0,0,1,0,0,0
1,64.4179452,0.111047537,64.34641065,22,10,2023,23,0,0,1,0,0,1,0,0
3,25.38440527,15.14174264,64.62229185,2,8,2023,11,0,0,1,0,0,1,0,0
7,62.02823758,18.38875557,354.3541161,12,6,2023,7,0,0,0,1,0,1,0,0
4,98.85379367,8.930830423,360.101316,24,3,2024,15,1,0,0,0,0,0,0,1
9,27.45019354,4.398935343,236.1840955,29,11,2023,11,0,1,0,0,0,1,0,0
3,16.02541232,14.79229223,40.96465951,17,3,2024,10,0,0,0,1,0,0,0,1
5,45.26114439,12.03191072,199.0768195,3,5,2023,16,0,1,0,0,1,0,0,0
3,43.69259776,19.97503164,104.8949626,12,3,2024,18,0,0,0,1,0,0,0,1
